name,website,short_description,linkedin,categories,num_employees_enum,locations,founded_on,operating_status,founders
theCre8tion,,theCre8tion provides a video editing platform for the B2B market which companies can use to crowdsource clips for various uses.,,"Digital Media, Video, Video Editing",,Asia-Pacific (APAC),1/1/2014,active,
theDOCK,,"A vertical VC firm investing in startups developing technologies for Maritime, Supply Chain, and Offshore sectors",https://www.linkedin.com/company/thedock-innovation-hub/,"Cyber Security, Financial Services, Logistics, Marine Technology, Ports and Harbors, Supply Chain Management, Venture Capital",,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",1/1/2017,active,"Hannan Carmeli, Nir Gartzman"
thePower,,ThePower is a learning institution that offers business-related courses.,https://www.linkedin.com/school/the-power,Education,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
theaivc,,The world's first Venture Capital fund powered entirely by Artificial Intelligence.,,,,,,active,
thebad.company,,thebad.company empowers visionary entrepreneurs through brand acceleration.,,"B2B, Brand Marketing, Business Development",,"Greater Denver Area, Western US",1/1/2023,active,
thegrasscompany,,grass company,,,c_00051_00100,,6/3/2015,active,Brandon Johnson
tisiHRi,,tisiHRi is a biotechnology company.,https://www.linkedin.com/company/tisihri,Biotechnology,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,Christine Guillen
titus AG,,titus was the market leader in German-speaking Europe in the segment of skateboard/lifestyle products.,,Lifestyle,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
tnt- network,,tnt- network is a television channel.,https://www.linkedin.com/company/tnt--network,"Broadcasting, Marketing, Media and Entertainment, TV",,"Europe, Middle East, and Africa (EMEA)",1/1/1998,active,
to.org,,to.org is a Civic & Social Organization.,https://www.linkedin.com/company/toorg/,,,"Europe, Middle East, and Africa (EMEA)",1/1/2012,active,Nachson Mimran
toDay.Ventures,,WE INVEST and BOOST early stage B2B Startups,https://www.linkedin.com/company/9335698,Financial Services,,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",1/1/2016,active,"Ilan Dray, Roni Nizri Geva, Shai Sum, Shay Michel"
toGather,,"Amazing meals, with amazing people.",,"Food and Beverage, Internet",,,8/1/2015,active,"Jan Birnbaum, Richard Ault"
