name,website,short_description,linkedin,categories,num_employees_enum,locations,founded_on,operating_status,founders
theBATstudio,http://www.thebatstudio.com,"theBATstudio is a boutique consulting firm that provides brand, marketing, and operation strategies for enterprises.",http://www.linkedin.com/company/thebatstudio,"Advertising, Brand Marketing, Content",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",10/19/2008,active,
theBIGzoo,https://www.thebigzoo.com,The Big Zoo is the source for all things animals from pop culture to the darkest jungles and deepest oceans.,,"Information Services, Service Industry",,"Greater Houston Area, Southern US",,active,
theBOM,http://ourbom.com,theBOM is a dymanic pop-up market destination that makes it convenient to shop with black-owned brands by placing them under one roof.,https://www.linkedin.com/company-beta/10992450,"Beauty, Fashion, Lifestyle",,"Greater New York Area, East Coast, Northeastern US",1/1/2016,active,Michelle Dalzon
theBREWROOM,http://thebrewroom.com,Provider of online marketing services to brands that want to compete in todays digital landscape.,http://www.linkedin.com/company/thebrewroom,"Brand Marketing, Email Marketing, Marketing, SEO, Web Design, Web Development",c_00001_00010,"Great Lakes, East Coast, Northeastern US",3/1/2011,active,Sam Insalaco
theBalm Cosmetics,https://thebalm.com/,"theBalm Cosmetics is a sassy, classy, SF based company with a line of high-quality makeup for the fun, flirty & fierce!",https://www.linkedin.com/company/thebalm-cosmetics,Consumer Goods,c_00051_00100,"San Francisco Bay Area, West Coast, Western US",1/1/2004,active,Marissa Shipman
theBench,http://www.thebenchtrading.com,theBench offers an online platform that enables its users to share information on experiments and get the service of experimenters.,,"Market Research, Marketplace, Outsourcing",c_00001_00010,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2006,active,Peter Azevedo
theBerry,http://theberry.com,"Berry gives millennial females a much-needed one-stop destination to laugh, cry, learn, and discover what people are talking about.",,"Communities, News",c_00051_00100,Southern US,11/1/2008,active,
theBlurb,http://www.theblurb.ca,"Local business directory with detailed consumer reviews, pictures, comments, all across Canada.",,Local Business,c_00001_00010,Great Lakes,1/1/2007,active,
theCARD,https://circablack.com/,TheCARD is a provider of financial and payment solutions and provides innovative pavement solutions.,,"Financial Services, FinTech, Payments",,"Great Lakes, Midwestern US",1/1/2013,active,James M. Gould
theCHIVE,https://thechive.com,theCHIVE is a social media platform.,,"Digital Entertainment, Media and Entertainment, Social Media",,Southern US,1/1/2008,active,"John Resig, Leo Resig"
theCORE inc.,https://www.thecore.io,"An intelligent hosting platform based on distributed Docker microservices to convert WooCommerce into a self managed, GDPR ready eShop.",,"Data Governance, E-Commerce",,"Greater Philadelphia Area, East Coast, Southern US",6/9/2016,active,
theCoderie,http://thecoderie.com,theCoderie is an internet consulting platform for technology and social media.,,"Consulting, Mobile",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2006,active,
theCodery,https://thecodery.com,"Salesforce Consulting, Specializing in HLS, Luxury Retail/Consumer Goods, ISV Applications",https://www.linkedin.com/company/18957524/,"Information Technology, SaaS, Software",c_00011_00050,"San Francisco Bay Area, West Coast, Western US",11/8/2018,active,"Joshua LeQuire, Rob Jacques, Sebastian Kessel"
theCodrs,https://www.thecodrs.com,"theCodrs specializes in custom software solutions, focusing on AI and Web3 technologies.",https://www.linkedin.com/company/thecodrs,"Apps, Artificial Intelligence (AI), Digital Marketing, Software, Web Development, Web3",c_00001_00010,"Greater Atlanta Area, East Coast, Southern US",1/1/2019,active,
theCollectiveShift,https://thecollectiveshift.com/,"theCollectiveShift is a creative agency that offers advertising, marketing, film production, photography, and creative editing.",https://www.linkedin.com/company/thecollectiveshift/,"Advertising, Content Creators, Creative Agency, Photography, Professional Services",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2006,active,
theCut,http://thecut.co,theCut is a mobile marketplace that connects barbers and their customers.,https://www.linkedin.com/company/thecutapp/,"Beauty, Communities, E-Commerce, Marketplace, Mobile",c_00001_00010,"Washington DC Metro Area, Southern US",2/1/2016,active,Obi Omile
